subid,month,sum_n,sum_prompts,adherence
1069,7,29,30,0.9666666666666667
1069,8,27,30,0.9
1069,9,24,30,0.8
1069,10,26,30,0.8666666666666667
1069,11,22,30,0.7333333333333333
1069,12,25,25,1
1070,1,21,30,0.7
1070,2,17,30,0.5666666666666667
1070,3,26,30,0.8666666666666667
1070,4,29,30,0.9666666666666667
1070,5,30,30,1
1070,6,28,30,0.9333333333333333
1070,7,23,30,0.7666666666666667
1070,8,19,30,0.6333333333333333
1070,9,17,30,0.5666666666666667
1070,10,23,30,0.7666666666666667
1070,11,24,30,0.8
1070,12,21,30,0.7
1071,1,29,30,0.9666666666666667
1071,2,23,30,0.7666666666666667
1071,3,22,30,0.7333333333333333
1071,4,24,30,0.8
1071,5,28,30,0.9333333333333333
1071,6,25,30,0.8333333333333334
1071,7,23,30,0.7666666666666667
1071,8,24,30,0.8
1071,9,17,30,0.5666666666666667
1071,10,11,30,0.36666666666666664
1071,11,14,30,0.4666666666666667
1071,12,11,30,0.36666666666666664
1072,1,21,30,0.7
1072,2,18,30,0.6
1072,3,7,30,0.23333333333333334
1072,4,0,1,0
1073,1,30,30,1
1073,2,29,30,0.9666666666666667
1073,3,28,30,0.9333333333333333
1073,4,29,30,0.9666666666666667
1073,5,25,30,0.8333333333333334
1073,6,16,30,0.5333333333333333
1073,7,27,30,0.9
1073,8,28,30,0.9333333333333333
1073,9,27,30,0.9
1073,10,20,30,0.6666666666666666
1073,11,18,30,0.6
1073,12,21,30,0.7
1076,1,16,30,0.5333333333333333
1076,2,19,30,0.6333333333333333
1076,3,14,30,0.4666666666666667
1076,4,0,3,0
1077,1,23,30,0.7666666666666667
1077,2,13,14,0.9285714285714286
1078,1,28,30,0.9333333333333333
1078,2,20,24,0.8333333333333334
1079,1,28,30,0.9333333333333333
1079,2,27,30,0.9
1079,3,27,30,0.9
1079,4,29,30,0.9666666666666667
1079,5,8,30,0.26666666666666666
1079,6,2,30,0.06666666666666667
1079,7,26,30,0.8666666666666667
1079,8,29,30,0.9666666666666667
1079,9,25,30,0.8333333333333334
1079,10,29,30,0.9666666666666667
1079,11,26,30,0.8666666666666667
1079,12,29,30,0.9666666666666667
1080,1,29,30,0.9666666666666667
1080,2,27,30,0.9
1080,3,25,30,0.8333333333333334
1080,4,22,30,0.7333333333333333
1080,5,26,30,0.8666666666666667
1080,6,20,30,0.6666666666666666
1080,7,21,30,0.7
1080,8,22,30,0.7333333333333333
1080,9,24,30,0.8
1080,10,23,30,0.7666666666666667
1080,11,21,30,0.7
1080,12,20,30,0.6666666666666666
1081,1,24,30,0.8
1081,2,22,30,0.7333333333333333
1081,3,25,30,0.8333333333333334
1081,4,28,30,0.9333333333333333
1081,5,25,30,0.8333333333333334
1081,6,15,30,0.5
1081,7,17,30,0.5666666666666667
1081,8,25,30,0.8333333333333334
1081,9,30,30,1
1081,10,28,30,0.9333333333333333
1081,11,24,30,0.8
1081,12,29,30,0.9666666666666667
1082,1,15,30,0.5
1082,2,21,30,0.7
1082,3,20,30,0.6666666666666666
1082,4,17,30,0.5666666666666667
1082,5,17,30,0.5666666666666667
1082,6,14,30,0.4666666666666667
1082,7,13,30,0.43333333333333335
1082,8,16,30,0.5333333333333333
1082,9,17,30,0.5666666666666667
1082,10,18,30,0.6
1082,11,17,30,0.5666666666666667
1082,12,16,29,0.5517241379310345
1083,1,30,30,1
1083,2,30,30,1
1083,3,30,30,1
1083,4,29,30,0.9666666666666667
1083,5,29,30,0.9666666666666667
1083,6,25,30,0.8333333333333334
1083,7,16,30,0.5333333333333333
1083,8,1,17,0.058823529411764705
1084,1,13,30,0.43333333333333335
1084,2,5,7,0.7142857142857143
1087,1,23,30,0.7666666666666667
1087,2,18,30,0.6
1087,3,21,30,0.7
1087,4,9,30,0.3
1087,5,5,30,0.16666666666666666
1087,6,0,30,0
1087,7,0,30,0
1087,8,0,30,0
1087,9,2,30,0.06666666666666667
1087,10,3,7,0.42857142857142855
1088,1,16,30,0.5333333333333333
1088,2,8,30,0.26666666666666666
1088,3,16,30,0.5333333333333333
1088,4,10,30,0.3333333333333333
1088,5,14,30,0.4666666666666667
1088,6,20,30,0.6666666666666666
1088,7,5,30,0.16666666666666666
1088,8,0,19,0
1090,1,18,30,0.6
1090,2,18,27,0.6666666666666666
1092,1,29,30,0.9666666666666667
1092,2,25,30,0.8333333333333334
1092,3,22,30,0.7333333333333333
1092,4,21,30,0.7
1092,5,18,30,0.6
1092,6,18,30,0.6
1092,7,16,30,0.5333333333333333
1092,8,14,30,0.4666666666666667
1092,9,18,30,0.6
1092,10,19,30,0.6333333333333333
1092,11,21,30,0.7
1092,12,23,30,0.7666666666666667
1093,1,29,30,0.9666666666666667
1093,2,28,30,0.9333333333333333
1093,3,26,30,0.8666666666666667
1093,4,27,30,0.9
1093,5,27,30,0.9
1093,6,23,30,0.7666666666666667
1093,7,23,30,0.7666666666666667
1093,8,27,30,0.9
1093,9,19,30,0.6333333333333333
1093,10,21,30,0.7
1093,11,18,30,0.6
1093,12,20,26,0.7692307692307693
1094,1,21,30,0.7
1094,2,7,16,0.4375
1095,1,28,30,0.9333333333333333
1095,2,22,30,0.7333333333333333
1095,3,26,30,0.8666666666666667
1095,4,26,30,0.8666666666666667
1095,5,27,30,0.9
1095,6,27,30,0.9
1095,7,28,30,0.9333333333333333
1095,8,27,30,0.9
1095,9,23,30,0.7666666666666667
1095,10,21,30,0.7
1095,11,27,30,0.9
1095,12,22,30,0.7333333333333333
1097,1,25,30,0.8333333333333334
1097,2,28,30,0.9333333333333333
1097,3,28,30,0.9333333333333333
1097,4,27,30,0.9
1097,5,27,30,0.9
1097,6,18,30,0.6
1097,7,18,30,0.6
1097,8,13,30,0.43333333333333335
1097,9,27,30,0.9
1097,10,29,30,0.9666666666666667
1097,11,26,30,0.8666666666666667
1097,12,26,28,0.9285714285714286
1098,1,25,30,0.8333333333333334
1098,2,22,30,0.7333333333333333
1098,3,22,30,0.7333333333333333
1098,4,16,30,0.5333333333333333
1098,5,19,30,0.6333333333333333
1098,6,23,30,0.7666666666666667
1098,7,21,30,0.7
1098,8,22,30,0.7333333333333333
1098,9,24,30,0.8
1098,10,10,30,0.3333333333333333
1098,11,3,27,0.1111111111111111
1099,1,27,30,0.9
1099,2,26,30,0.8666666666666667
1099,3,29,30,0.9666666666666667
1099,4,29,30,0.9666666666666667
1099,5,28,30,0.9333333333333333
1099,6,30,30,1
1099,7,27,30,0.9
1099,8,26,30,0.8666666666666667
1099,9,27,30,0.9
1099,10,27,30,0.9
1099,11,30,30,1
1099,12,26,30,0.8666666666666667
1100,1,24,30,0.8
1100,2,27,30,0.9
1100,3,25,30,0.8333333333333334
